idcampagna;idcontrattorcr;idleg;tradedate;prodotto;scope_details;opzione;flag_definitivo
negoziata;8214;74277;2017-07-01;NULL;;NULL;NULL
negoziata;13689;97729;2020-04-02;NULL;Fixing Poste 01.04.2020;NULL;NULL
negoziata;13689;97735;2020-04-08;NULL;Fixing Poste 08.04.2020;NULL;NULL
negoziata;13992;98497;2020-06-12;NULL;Reforecasting Negoziate_12_06_2020;NULL;NULL
negoziata;15311;119904;2020-03-10;NULL;;NULL;NULL
negoziata;15311;135107;2020-11-11;NULL;Reforecasting_Nov20_2020_11_10;NULL;NULL
negoziata;15335;119922;2020-03-13;NULL;;NULL;NULL
negoziata;15442;101465;2020-03-25;NULL;;NULL;NULL
negoziata;15452;119955;2020-03-23;NULL;;NULL;NULL
negoziata;15457;135071;2020-11-11;NULL;Reforecasting_Nov20_2020_11_10;NULL;NULL
negoziata;15466;119965;2020-03-27;NULL;;NULL;NULL
negoziata;15511;101588;2020-04-02;NULL;;NULL;NULL
negoziata;15517;101598;2020-04-07;NULL;;NULL;NULL
negoziata;15551;101670;2020-04-09;NULL;;NULL;NULL
negoziata;15553;119981;2020-04-08;NULL;;NULL;NULL
negoziata;15553;135141;2020-11-11;NULL;Reforecasting_Nov20_2020_11_10;NULL;NULL
negoziata;15558;101681;2020-04-08;NULL;;NULL;NULL
negoziata;15561;101678;2020-04-08;NULL;;NULL;NULL
negoziata;15563;101691;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101692;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101693;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101695;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101696;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101701;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101704;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101708;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101709;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101711;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101712;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101713;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101714;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101725;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101730;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101732;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101735;2020-04-07;NULL;;NULL;NULL
negoziata;15563;101741;2020-04-07;NULL;;NULL;NULL
negoziata;15571;119996;2020-04-15;NULL;;NULL;NULL
negoziata;15589;101775;2020-04-10;NULL;;NULL;NULL
negoziata;15589;101776;2020-04-10;NULL;;NULL;NULL
negoziata;15589;101777;2020-04-10;NULL;;NULL;NULL
negoziata;15604;101794;2020-04-17;NULL;;NULL;NULL
negoziata;15607;101795;2020-04-17;NULL;;NULL;NULL
negoziata;15615;101804;2020-04-16;NULL;;NULL;NULL
negoziata;15617;101809;2020-04-16;NULL;;NULL;NULL
negoziata;15644;101844;2020-04-20;NULL;;NULL;NULL
negoziata;15644;101847;2020-04-27;NULL;Richiesta di switch per 10%Valdigrano GY21;NULL;NULL
negoziata;15644;101848;2020-04-27;NULL;Richiesta di switch per 10%Valdigrano GY21;NULL;NULL
negoziata;15644;101851;2020-05-13;NULL;Richiesta di switch per 50%Valdigrano GY21;NULL;NULL
negoziata;15644;101852;2020-05-13;NULL;Richiesta di switch per 50%Valdigrano GY21;NULL;NULL
negoziata;15644;101853;2020-04-20;NULL;;NULL;NULL
negoziata;15644;101856;2020-04-27;NULL;Richiesta di switch per 10%Valdigrano GY21;NULL;NULL
negoziata;15644;101857;2020-04-27;NULL;Richiesta di switch per 10%Valdigrano GY21;NULL;NULL
negoziata;15644;101859;2020-05-05;NULL;Richiesta di switch per 30%Valdigrano GY21;NULL;NULL
negoziata;15644;101864;2020-04-20;NULL;Richiesta di switch per 10%Valdigrano GY21;NULL;NULL
negoziata;15644;101866;2020-04-27;NULL;Richiesta di switch per 10%Valdigrano GY21;NULL;NULL
negoziata;15644;101867;2020-05-05;NULL;Richiesta di switch per 30%Valdigrano GY21;NULL;NULL
negoziata;15644;101868;2020-05-05;NULL;Richiesta di switch per 30%Valdigrano GY21;NULL;NULL
negoziata;15644;101869;2020-05-13;NULL;Richiesta di switch per 50%Valdigrano GY21;NULL;NULL
negoziata;15674;101976;2020-04-23;NULL;;NULL;NULL
negoziata;15689;101997;2020-04-22;NULL;;NULL;NULL
negoziata;15698;120038;2020-05-14;NULL;Fixing San Raffaele 10% Seconda Richiesta 13/05/2020;NULL;NULL
negoziata;15701;120031;2020-04-24;NULL;;NULL;NULL
negoziata;15715;102056;2020-04-27;NULL;;NULL;NULL
negoziata;15715;102064;2020-04-27;NULL;;NULL;NULL
negoziata;15720;102216;2020-05-14;NULL;Fixing San Raffaele 10% Prima Richiesta 13/05/2020;NULL;NULL
negoziata;15720;102223;2020-05-14;NULL;Fixing San Raffaele 10% Seconda Richiesta 13/05/2020;NULL;NULL
negoziata;15720;102231;2020-05-14;NULL;Fixing San Raffaele 10% Prima Richiesta 13/05/2020;NULL;NULL
negoziata;15720;102239;2020-05-14;NULL;Fixing San Raffaele 10% Seconda Richiesta 13/05/2020;NULL;NULL
negoziata;15720;102240;2020-04-24;NULL;;NULL;NULL
