idcampagna;idcontrattorcr;idleg;tradedate;itp_energia_verde;prodotto;scope_details;opzione;flag_definitivo
negoziata;26250;140492;2021-02-11;0;NULL;;NULL;NULL
negoziata;26387;143055;2021-03-10;0;NULL;;NULL;NULL
negoziata;26388;143056;2021-03-10;0;NULL;;NULL;NULL
negoziata;26528;143273;2021-03-29;0;NULL;;NULL;NULL
negoziata;26544;143291;2021-03-30;0;NULL;;NULL;NULL
negoziata;26574;143340;2021-04-06;0;NULL;;NULL;NULL
negoziata;28900;192510;2022-01-26;0;NULL;Storno_Feb22;NULL;NULL
negoziata;29209;191897;2022-01-17;0;NULL;Fixing_FebApr22;NULL;NULL
negoziata;29447;191816;2022-01-10;0;NULL;;NULL;NULL
negoziata;29455;191833;2022-01-12;0;NULL;;NULL;NULL
negoziata;29555;192501;2022-01-25;1.99;NULL;;NULL;NULL
negoziata;29599;192568;2022-01-31;0;NULL;;NULL;NULL
2016.1;2180;146165;2021-03-25;0;SMFXL161;Reforecasting 2103 - REF1;PROFILO-DAY;true
2016.1;2180;146166;2021-03-25;0;SMFXL161;Reforecasting 2103 - REF1;PROFILO-DAY;true
2016.1;2181;146957;2021-03-25;0;QFMIC161;Reforecasting 2103 - REF1;;true
2016.1;2208;146958;2021-03-25;0;LFIX161;Reforecasting 2103 - REF1;;true
2016.1;2208;146958;2021-03-25;0;LLED161;Reforecasting 2103 - REF1;;true
2016.1;2209;143367;2021-03-25;0;LCAP161;Reforecasting 2103 - REF1;;true
2016.1;2214;146174;2021-03-25;0;CAPL161;Reforecasting 2103 - REF1;;true
2016.1;4935;146624;2021-03-25;0;LFRE161;Reforecasting 2103 - REF1;;true
2016.2;2572;146961;2021-03-25;0;MYENG161;Reforecasting 2103 - REF1;PROFILO-H24;true
2016.2;2580;146181;2021-03-25;0;MYENG161;Reforecasting 2103 - REF1;PROFILO-DAY;true
2016.2;2580;146182;2021-03-25;0;MYENG161;Reforecasting 2103 - REF1;PROFILO-DAY;true
2016.2;2633;129411;2020-11-12;0;LCAP162;Reforecasting ott-20;;true
2016.2;4933;173233;2021-08-02;0;LFRE161;Reforecasting 2106 - REF2;;true
2016.3;2804;146191;2021-03-25;0;MYENG161;Reforecasting 2103 - REF1;PROFILO-DAY;true
