delivery;pnl_gas;POWER;GO;pnl_pwr
2022-01-01 00:00:00;-43361981.277109;-7830274;252031;-7578242.9626411
2022-02-01 00:00:00;-14147281.466968;-4169443;280437;-3889005.5445265
2022-03-01 00:00:00;150481965.17985;28607502;237975;28845477.229788
2022-04-01 00:00:00;-28487867.215976;-5115545;214377;-4901167.633938
2022-05-01 00:00:00;6798019.8258906;-1510748;212006;-1298741.8144006
2022-06-01 00:00:00;19182636.401629;-7156972;209467;-6947504.776015
2022-07-01 00:00:00;0;0;0;0
2022-08-01 00:00:00;0;0;0;0
2022-09-01 00:00:00;0;0;0;0
2022-10-01 00:00:00;0;0;0;0
2022-11-01 00:00:00;0;0;0;0
2022-12-01 00:00:00;0;0;0;0
