Codice RUN;Data Calcolo;Data Consolidamento;Data Emissione;Ordine Tipo Emissione;Codice Famiglia Emissione;Max numero conti cliente;Tipo catena;Conti cliente completi;Ordine criteri;Codice CD 1;Valore CD 1;Tipo associazione CD 1;Codice CD 2;Valore CD 2;Tipo associazione CD 2;Codice CD 3;Valore CD 3;Tipo associazione CD 3;Codice CD 4;Valore CD 4;Tipo associazione CD 4;Codice CD 5;Valore CD 5;Tipo associazione CD 5;Codice CD 6;Valore CD 6;Tipo associazione CD 6;Codice CD 7;Valore CD 7;Tipo associazione CD 7;Codice CD 8;Valore CD 8;Tipo associazione CD 8;Codice CD 9;Valore CD 9;Tipo associazione CD 9;Codice CD 10;Valore CD 10;Tipo associazione CD 10;FLG_BL_COM
2022_RUN_0001;04/06/2022;08/06/2022;09/06/2022;1;P;400000;D;S;1;LETTURA;S;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0002;14/06/2022;14/06/2022;15/06/2022;1;D;73010;S;N;1;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0003;14/06/2022;14/06/2022;15/06/2022;2;GL;242730;S;N;2;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0004;08/06/2022;08/06/2022;09/06/2022;1;P;273000;S;S;2;LETTURA;S;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0005;15/06/2022;15/06/2022;16/06/2022;1;GR;357000;S;S;1;LETTURA;S;O;CEDIBILE;S;O;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0006;23/06/2022;23/06/2022;24/06/2022;2;P;100000;S;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0007;18/06/2022;23/06/2022;24/06/2022;2;GL;300000;D;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0008;09/06/2022;09/06/2022;10/06/2022;1;D;100000;S;S;1;LETTURA;S;O;DOMICILIATO;S;O;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0009;09/06/2022;09/06/2022;10/06/2022;2;GL;400000;S;S;1;LETTURA;S;O;DOMICILIATO;S;O;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0010;14/06/2022;14/06/2022;15/06/2022;1;D;73010;S;N;2;LETTURA;S;O;DOMICILIATO;S;O;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0011;14/06/2022;14/06/2022;15/06/2022;2;GL;242730;S;N;1;LETTURA;S;O;DOMICILIATO;S;O;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0012;16/06/2022;16/06/2022;17/06/2022;2;GR;270000;S;N;3;LETTURA;S;P;DOMICILIATO;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0013;16/06/2022;16/06/2022;17/06/2022;2;GR;270000;S;N;2;LETTURA;S;O;CEDIBILE;S;O;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0014;16/06/2022;16/06/2022;17/06/2022;1;P;167000;S;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0015;15/06/2022;15/06/2022;16/06/2022;1;GR;357000;S;S;2;DOMICILIATO;S;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0016;23/06/2022;23/06/2022;24/06/2022;1;GR;212000;S;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0017;13/06/2022;13/06/2022;14/06/2022;1;GR;500000;S;S;1;DOMICILIATO;S;O;LETTURA;S;O;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0018;15/06/2022;21/06/2022;22/06/2022;1;GL;368000;D;S;1;LETTURA;S;O;CEDIBILE;S;O;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0019;18/06/2022;23/06/2022;24/06/2022;1;D;214000;D;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0020;13/06/2022;17/06/2022;18/06/2022;1;P;60000;D;N;1;LETTURA;S;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0021;16/06/2022;16/06/2022;17/06/2022;2;GR;270000;S;N;1;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
