codice_contabilita|partita_iva|commodity|fornitore|anno_comp|mese_comp|data_emissione|data_scadenza|flg_presenza_scadenza|provenienza|volume|importo
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2022|01|2022-02-04 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|94418565|2052651.1800001
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2022|01|2022-02-05 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|135738994|2048648.81
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|08|2022-02-01 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|2658|185.14
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2022|01|2022-02-07 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|78046168|2325577.43
143863|05816611007|EE|ARETI S.p.A.|2022|01|2022-02-09 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|43317038.34|1961083.609998
143863|05816611007|EE|ARETI S.p.A.|2021|12|2022-02-09 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|312411.53|14626.34
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|06|2022-02-04 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-899.585|18.667732278298
143863|05816611007|EE|ARETI S.p.A.|2022|01|2022-02-14 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|18343660.34|825920.56000029
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2022|01|2022-02-06 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|58433650|2077980.5
150090|01013210073|EE|DEVAL S.P.A.|2022|01|2022-02-07 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|823147|39643.659999999
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2022|01|2022-02-18 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|7348103|333533.91370322
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2022|01|2022-02-15 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|1055640|58652.862929162
143863|05816611007|EE|ARETI S.p.A.|2022|01|2022-02-08 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|11201693.76|178843.06790076
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2022|01|2022-02-23 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|115298|3280.52
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|04|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|-6117.723|-279.03332642738
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2020|05|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|-1143.184|-47.179889647245
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2022|01|2022-02-08 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|35531286|-90274.990000017
148987|12883450152|EE|UNARETI S.p.A.|2022|01|2022-02-11 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|11651596.11|272957.18
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|12|2022-02-04 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|578807.524|23084.913626587
143863|05816611007|EE|ARETI S.p.A.|2021|08|2022-02-21 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|105.68|83.21
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|10|2022-02-01 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|6303.426|254.84074321219
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2022|01|2022-02-09 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|5720742|-809677.53
