codice_contabilita|partita_iva|commodity|fornitore|anno_comp|mese_comp|data_emissione|data_scadenza|flg_presenza_scadenza|provenienza|volume|importo
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2022|04|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|177644.736|2756.1895250007
167417|02166820510|GAS|CENTRIA S.r.l.|2020|09|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|178.167|30.080372
167417|02166820510|GAS|CENTRIA S.r.l.|2020|07|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|157.829|23.703389
167417|02166820510|GAS|CENTRIA S.r.l.|2020|06|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|164.439|20.136887
167417|02166820510|GAS|CENTRIA S.r.l.|2022|02|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-14541.802|-1791.405394
167417|02166820510|GAS|CENTRIA S.r.l.|2022|03|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-22782.105|-2586.955678
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2021|01|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|849.402|98.45834
167417|02166820510|GAS|CENTRIA S.r.l.|2021|07|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|166.478|31.658365
167417|02166820510|GAS|CENTRIA S.r.l.|2021|05|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|945.864|140.831198
167417|02166820510|GAS|CENTRIA S.r.l.|2022|01|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-10743.964|-1072.752113
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2020|11|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|445.852|45.223452
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2020|06|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-142.409|-15.062187
167417|02166820510|GAS|CENTRIA S.r.l.|2021|09|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|175.404|21.249438
167417|02166820510|GAS|CENTRIA S.r.l.|2021|08|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-384.504|-43.635379
167417|02166820510|GAS|CENTRIA S.r.l.|2021|03|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|882.751|101.666633
167417|02166820510|GAS|CENTRIA S.r.l.|2021|04|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|909.718|122.414106
167417|02166820510|GAS|CENTRIA S.r.l.|2021|01|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|1393.164|263.261539
167417|02166820510|GAS|CENTRIA S.r.l.|2021|06|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|167.482|40.948553
167417|02166820510|GAS|CENTRIA S.r.l.|2020|12|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|1091.82|141.923259
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2020|03|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|804.448|98.432785
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2020|02|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-4461.608|-522.600005
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2020|01|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|2214.882|266.512824
