Nome_Decodifica;Commodity;ID;Valore_TCR
AttributoFasciaRataFissa;CROSS;EE;Contributo_Mensile_Relax_Luce
AttributoFasciaRataFissa;CROSS;GAS;Contributo_Mensile_Relax_Gas
ClusterForniture;GAS;A;1
ClusterForniture;GAS;B;1
ClusterForniture;GAS;C;1
ClusterForniture;GAS;D;1
ClusterForniture;GAS;E;1
ClusterForniture;GAS;F;1
ClusterForniture;GAS;G;1
ClusterForniture;GAS;H;1
ClusterForniture;GAS;I;1
ClusterForniture;GAS;J;1
ClusterForniture;GAS;K;1
ClusterForniture;GAS;L;1
ClusterForniture;GAS;M;1
ClusterForniture;GAS;N;1
ClusterForniture;GAS;O;1
ClusterForniture;GAS;P;1
ClusterForniture;GAS;Q;1
ClusterForniture;GAS;R;1
ClusterForniture;GAS;S;1
ClusterForniture;GAS;T;1
ClusterForniture;GAS;U;3
ClusterForniture;GAS;V;3
ClusterForniture;GAS;W;3
ClusterForniture;GAS;X;2
ClusterForniture;GAS;Y;2
ClusterForniture;GAS;Z;2
ClusterForniture;GAS;0;1
ClusterForniture;GAS;1;2
ClusterForniture;GAS;2;3
ClusterForniture;GAS;3;3
ClusterForniture;GAS;4;3
ClusterForniture;GAS;5;3
ClusterForniture;GAS;6;3
ClusterForniture;GAS;7;2
ClusterForniture;GAS;8;2
ClusterForniture;GAS;9;3
ClusterForniture;EE;0;0
ClusterForniture;EE;1;0
ClusterForniture;EE;2;0
ClusterForniture;EE;3;0
ClusterForniture;EE;4;0
ClusterForniture;EE;5;0
ClusterForniture;EE;6;0
ClusterForniture;EE;7;0
ClusterForniture;EE;8;0
ClusterForniture;EE;9;0
ClusterForniture;EE;A;0
ClusterForniture;EE;B;0
ClusterForniture;EE;C;0
ClusterForniture;EE;D;0
ClusterForniture;EE;E;0
ClusterForniture;EE;F;0
ClusterForniture;EE;G;0
ClusterForniture;EE;H;0
ClusterForniture;EE;I;1
ClusterForniture;EE;J;1
ClusterForniture;EE;K;1
ClusterForniture;EE;L;1
ClusterForniture;EE;M;1
ClusterForniture;EE;N;1
ClusterForniture;EE;O;1
ClusterForniture;EE;P;1
ClusterForniture;EE;Q;1
ClusterForniture;EE;R;1
ClusterForniture;EE;S;1
ClusterForniture;EE;T;1
ClusterForniture;EE;U;1
ClusterForniture;EE;V;1
ClusterForniture;EE;W;1
ClusterForniture;EE;X;1
ClusterForniture;EE;Y;1
ClusterForniture;EE;Z;1
Commodity;CROSS;ENERGIA ELETTRICA;EE
Commodity;CROSS;GAS METANO;GAS
CommodityCRM;CROSS;Prodotto Commodity Luce;EE
CommodityCRM;CROSS;Prodotto Commodity Gas;GAS
CommodityFatturato;CROSS;ENERGIA ELETTRICA;EE
CommodityFatturato;CROSS;Energia Elettrica;EE
CommodityFatturato;CROSS;GAS NATURALE;GAS
CommodityFatturato;CROSS;GAS METANO;GAS
ComponentiBloccoTerremotati;CROSS;DISTV;43708
ComponentiBloccoTerremotati;CROSS;DISTV_ALL;43708
ComponentiBloccoTerremotati;CROSS;DISTF;43708
ComponentiBloccoTerremotati;CROSS;DISTF_ALL;43708
ComponentiBloccoTerremotati;CROSS;LAVO;43708
ComponentiRettificaBILMAT;CROSS;TRASPV;Y
ComponentiRettificaBILMAT;CROSS;TRASPV_ALL;Y
ComponentiRettificaBILMAT;CROSS;VENDV;Y
ComponentiSaldo;CROSS;LAVO;1
ComponentiSaldo;CROSS;BSO;1
ComponentiSaldo;CROSS;SCON_UT;3
Mercato;CROSS;Y;Libero
Mercato;CROSS;N;Tutelato
PerditaAllocato;CROSS;2016;0,0266
PerditaAllocato;CROSS;2017;0,0266
PerditaAllocato;CROSS;2018;0,0266
PerditaAllocato;CROSS;2019;0,0266
PerditaAllocato;CROSS;2020;0,0266
PerditaAllocato;CROSS;2021;0,0266
PerditaAllocato;CROSS;2022;0,0266
PerditaAllocato;CROSS;2023;0,0266
PerditaAllocato;CROSS;2024;0,0266
PeriodiRataFissa;CROSS;INIZIO_SIMULAZIONE_CONGUAGLIO;6
PeriodiRataFissa;CROSS;MESI_CONGUAGLIO_NETA;12
ProfiloDefault;CROSS;001X1#NETA BM;DEFAULT#NETA BM
ProfiloDefault;CROSS;T1X1#NETA BR;DEFAULT#NETA BR
ProfitRegime;CROSS;Regolato;Tutelato
ProfitRegime;CROSS;Libero Standard;Libero standard
ProfitRegime;CROSS;Libero a tariffa regolata;Libero a tariffa regolata
ProfitRegime;CROSS;Libero semi-negoziato;Seminegoziato
ProfitRegime;CROSS;Libero Negoziato;Negoziato
