Tabella;CAMPO_NDP;CAMPO_TCR
clcri_anag_impianti_ee;CODICE_TENSIONE;CODICE_TENSIONE
clcri_anag_impianti_ee;CODICE_VOLTAGGIO;VALORE_TENSIONE
clcri_anag_impianti_ee;COD_ISTAT;CODICE_ISTAT_ALFANUMERICO
clcri_anag_impianti_ee;COD_PDF;CODICE_PDF
clcri_anag_impianti_ee;COD_POD;CODICE_POD
clcri_anag_impianti_ee;DESCRIZIONE_LIVELLO_TENSIONE;TENSIONE
clcri_anag_impianti_ee;DSC_TIPOLOGIA_UTILIZZO;TIPO_UTILIZZO
clcri_anag_impianti_ee;MISURATORE_ORARIO_NONORARIO;MISURATORE_ORARIO_NONORARIO
clcri_anag_impianti_ee;PK_CLCRI_ANAG_IMPIANTI_EE;PK_CLCRI_ANAG_IMPIANTI_EE
clcri_anag_impianti_ee;PK_ID_DISTRIBUTORE;ID_DISTRIBUTORE
clcri_anag_impianti_ee;PK_ID_PDF;UIDSERVICEPOINT
clcri_anag_impianti_ee;POTENZA_CONTRATTUALE;POTENZA_CONTRATTUALE
clcri_anag_impianti_ee;POTENZA_DISPONIBILE;POTENZA_DISPONIBILE
clcri_anag_impianti_ee;VALIDO_DAL;DATA_INIZIO
clcri_anag_impianti_ee;VALIDO_FINO_AL;DATA_FINE
clcri_anag_impianti_ee;dat_endDate;dat_endDate
clcri_anag_impianti_ee;dat_startDate;dat_startDate
clcri_anag_impianti_ee;dat_systemUpdateDate;dat_systemUpdateDate
clcri_anag_impianti_ee;flg_lastSnap;flg_lastSnap
clcri_anag_impianti_ee;systemDate;systemDate
clcri_anag_impianti_gas;CLASSE_MISURATORE;CLASSE_MISURATORE
clcri_anag_impianti_gas;CODICE_CITYGATE;COD_REMI
clcri_anag_impianti_gas;CODICE_ISTAT;CODICE_ISTAT_ALFANUMERICO
clcri_anag_impianti_gas;COD_PDF;CODICE_PDF
clcri_anag_impianti_gas;COD_POD;CODICE_PDR
clcri_anag_impianti_gas;DATA_FINE;DATA_FINE
clcri_anag_impianti_gas;DATA_INIZIO;DATA_INIZIO
clcri_anag_impianti_gas;DSC_TIPOLOGIA_UTILIZZO;TIPO_UTILIZZO
clcri_anag_impianti_gas;FLG_INTEGRATO;FLAG_INTEGRATO
clcri_anag_impianti_gas;FLG_MISURATORE_INSTALLATO;FLG_MISURATORE_INSTALLATO
clcri_anag_impianti_gas;ID_DISTRIBUTORE;ID_DISTRIBUTORE
clcri_anag_impianti_gas;MATRICOLA_CONTATORE;MATRICOLA_CONTATORE
clcri_anag_impianti_gas;MATRICOLA_CORRETT;MATRICOLA_CORRETTORE
clcri_anag_impianti_gas;NR_CIFR_CONTATORE;N_CIFRE_CONTATORE
clcri_anag_impianti_gas;NR_CIFR_CORRETT;N_CIFRE_CORRETTORE
clcri_anag_impianti_gas;PK_CLCRI_ANAG_IMPIANTI_GAS;PK_CLCRI_ANAG_IMPIANTI_GAS
clcri_anag_impianti_gas;PK_ID_PDF;UIDSERVICEPOINT
clcri_anag_impianti_gas;dat_endDate;dat_endDate
clcri_anag_impianti_gas;dat_startDate;dat_startDate
clcri_anag_impianti_gas;dat_systemUpdateDate;dat_systemUpdateDate
clcri_anag_impianti_gas;flg_lastSnap;flg_lastSnap
clcri_anag_impianti_gas;systemDate;systemDate
clcri_anag_prodotti_crm;COD_PROD;ID_PRODOTTO_CRM
clcri_anag_prodotti_crm;MERCATO;FLAG_MERCATO_LIBERO
clcri_anag_prodotti_crm;NOME_PROD;NOME
clcri_anag_prodotti_crm;PK_CLCRI_ANAG_PRODOTTI_CRM;PK_CLCRI_ANAG_PRODOTTI_CRM
clcri_anag_prodotti_crm;dat_endDate;dat_endDate
clcri_anag_prodotti_crm;dat_startDate;dat_startDate
clcri_anag_prodotti_crm;dat_systemUpdateDate;dat_systemUpdateDate
clcri_anag_prodotti_crm;flg_lastSnap;flg_lastSnap
clcri_anag_prodotti_crm;systemDate;systemDate
clcri_attributi_forn_crm;FASCE_ORARIE;FASCE_ORARIE
clcri_attributi_forn_crm;FK_ASSET_LINE_ITEM;ID_FORNITURA_CRM
clcri_attributi_forn_crm;FLG_BOLLETTA_PIATTA;BOLLETTA_PIATTA
clcri_attributi_forn_crm;OPZ_VERDE;OPZIONE_VERDE
clcri_attributi_forn_crm;PK_CLCRI_ATTRIBUTI_FORN_CRM;PK_CLCRI_ATTRIBUTI_FORN_CRM
clcri_attributi_forn_crm;PK_ID_ATTRIBUTO;ID_ATTRIBUTO
clcri_attributi_forn_crm;PROFILO;PROFILO
clcri_attributi_forn_crm;PROFILO_DI_CONS_GAS;CONTRIBUTO_MENSILE_RELAX_GAS
clcri_attributi_forn_crm;PROFILO_DI_CONS_LUCE;CONTRIBUTO_MENSILE_RELAX_LUCE
clcri_attributi_forn_crm;SIEBEL_ROW_ID_FORN;SIEBEL_ROW_ID_FORN
clcri_attributi_forn_crm;dat_endDate;dat_endDate
clcri_attributi_forn_crm;dat_startDate;dat_startDate
clcri_attributi_forn_crm;dat_systemUpdateDate;dat_systemUpdateDate
clcri_attributi_forn_crm;flg_lastSnap;flg_lastSnap
clcri_attributi_forn_crm;systemDate;systemDate
clcri_blocchi_fatturazione;COD_SIST_PROV;COD_SISTEMA_PROVENIENZA
